rank,port_complex_id,port_complex_name,coast,component_port_codes,geometry_version,source_vintage,ranking_value_2017_2019,cumulative_share,inclusion_status,inclusion_reason
1,san_pedro_bay,San Pedro Bay (Los Angeles/Long Beach),Pacific,2704;2709,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,286294960801.6667,0.36568157992223,included,top_20
2,new_york_new_jersey,Port of New York and New Jersey,Atlantic,1001;1003,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,127269614832.66666,0.5282417371034258,included,top_20
75,fall_river_ma,"Fall River, Ma",Atlantic,0407,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,1266698.3333333333,0.9999855863023076,excluded_by_selection_rule,outside_selected_coverage
76,newport_ri,"Newport, Ri",Atlantic,0501,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,1177716.0,0.9999870905867225,excluded_by_selection_rule,outside_selected_coverage
77,camden_nj,"Camden, Nj",Atlantic,1107,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,948762.3333333334,0.9999883024309969,excluded_by_selection_rule,outside_selected_coverage
78,cambridge_md,"Cambridge, Md",Atlantic,1302,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,945034.6666666666,0.9999895095139613,excluded_by_selection_rule,outside_selected_coverage
79,san_pablo_bay_ca,"San Pablo Bay, Ca",Pacific,2829,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,711613.3333333334,0.999990418450281,excluded_by_selection_rule,outside_selected_coverage
80,calais_me,"Calais, Me",Atlantic,0115,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,598096.0,0.99999118239209,excluded_by_selection_rule,outside_selected_coverage
81,monterey_ca,"Monterey, Ca",Pacific,2805,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,469489.3333333333,0.9999917820659392,excluded_by_selection_rule,outside_selected_coverage
82,astoria_or,"Astoria, Or",Pacific,2901,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,466710.3333333333,0.9999923781902007,excluded_by_selection_rule,outside_selected_coverage
83,port_townsend_wa,"Port Townsend, Wa",Pacific,3008,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,464698.3333333333,0.9999929717445555,excluded_by_selection_rule,outside_selected_coverage
84,hartford_ct,"Hartford, Ct",Atlantic,0411,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,439485.6666666667,0.9999935330950329,excluded_by_selection_rule,outside_selected_coverage
85,coos_bay_or,"Coos Bay, Or",Pacific,2903,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,435243.6666666667,0.9999940890272477,excluded_by_selection_rule,outside_selected_coverage
86,boca_grande_fl,"Boca Grande, Fl",Gulf,1807,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,417044.3333333333,0.9999946217136433,excluded_by_selection_rule,outside_selected_coverage
87,bellingham_wa,"Bellingham, Wa",Pacific,3005,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,395575.0,0.9999951269774823,excluded_by_selection_rule,outside_selected_coverage
88,texas_city_tx,"Texas City, Tx",Gulf,5306,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,382449.3333333333,0.9999956154760437,excluded_by_selection_rule,outside_selected_coverage
89,redwood_city_ca,"Redwood City, Ca",Pacific,2821,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,365149.6666666667,0.9999960818779203,excluded_by_selection_rule,outside_selected_coverage
90,olympia_wa,"Olympia, Wa",Pacific,3026,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,355452.0,0.9999965358930681,excluded_by_selection_rule,outside_selected_coverage
91,orange_tx,"Orange, Tx",Gulf,2103,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,285296.3333333333,0.9999969002991116,excluded_by_selection_rule,outside_selected_coverage
92,sabine_tx,"Sabine, Tx",Gulf,2102,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,267453.6666666667,0.9999972419149021,excluded_by_selection_rule,outside_selected_coverage
93,greenville_ms,"Greenville, Ms",Gulf,2011,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,223048.0,0.9999975268117959,excluded_by_selection_rule,outside_selected_coverage
94,bridgeport_ct,"Bridgeport, Ct",Atlantic,0410,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,189010.0,0.9999977682323058,excluded_by_selection_rule,outside_selected_coverage
