mmsi,length_m,width_m,draft_m,vessel_type,imo,n_obs,first_year,last_year
212775000,190.0,32.0,11.2,70.0,,64,2024,2024
212789000,264.0,32.0,12.75,79.0,,1722,2015,2017
212790000,134.0,21.0,7.9,70.0,,352,2018,2018
212814000,195.0,32.0,9.6,74.0,,430,2021,2025
212865000,196.0,30.0,11.0,72.0,,177,2015,2016
212871000,229.0,32.0,13.2,89.0,,1137,2015,2018
212891000,200.0,24.0,10.7,70.0,,890,2016,2021
212911000,224.0,32.0,14.1,70.0,,701,2020,2020
212914000,229.0,32.0,14.4,70.0,,150,2017,2017
212917000,166.0,25.0,9.5,70.0,,6742,2016,2025
212954000,190.0,32.0,10.5,70.0,,597,2021,2021
212970000,199.0,,,70.0,,53,2019,2019
214182516,90.0,13.0,4.3,70.0,,19427,2015,2022
214182626,90.0,13.0,4.3,70.0,,11517,2016,2022
214182695,86.0,13.0,3.7,70.0,,3893,2021,2022
214182782,90.0,14.0,4.1,70.0,,3242,2021,2022
215003000,183.0,32.0,8.5,80.0,,1934,2019,2024
215004000,183.0,32.0,7.6,89.0,,613,2022,2024
215025000,180.0,30.0,9.5,70.0,,187,2018,2019
215031000,190.0,32.0,6.7,79.0,,665,2018,2023
215032000,244.0,42.0,14.82,82.0,,253,2015,2015
215035000,195.0,25.0,10.7,70.0,,466,2019,2023
215044000,225.0,32.0,6.9,70.0,,432,2024,2024
215052000,183.0,32.0,7.9,89.0,,2328,2020,2025
215069000,229.0,38.0,7.8,70.0,,423,2021,2021
215070000,183.0,32.0,11.0,80.0,,509,2020,2024
215071000,183.0,32.0,7.8,80.0,,3296,2019,2023
215077000,232.0,36.0,7.9,89.0,,1010,2025,2025
215083000,189.0,32.0,12.0,70.0,,627,2019,2019
215094000,190.0,32.0,11.4,70.0,,441,2019,2019
215120000,180.0,30.0,9.9,70.0,,1132,2018,2018
215122000,183.0,32.0,11.3,80.0,,112,2023,2023
215125000,366.0,49.0,14.4,72.0,,894,2022,2024
215126000,366.0,48.0,13.2,71.0,,960,2021,2023
215127000,104.0,16.0,13.2,70.0,,652,2019,2025
215131000,363.0,46.0,13.4,71.0,,1047,2021,2023
215137000,366.0,48.0,13.2,71.0,,2615,2021,2025
215139000,195.0,25.0,10.7,70.0,,835,2022,2022
215143000,171.0,27.0,10.0,70.0,,78,2017,2017
215146000,170.0,27.0,6.8,71.0,,471,2025,2025
215154000,366.0,52.0,13.2,71.0,,1225,2023,2023
215158000,366.0,51.0,12.1,71.0,,2444,2021,2023
215159000,295.0,33.0,10.7,71.0,,1601,2022,2025
215164000,364.0,46.0,13.5,71.0,,1055,2021,2023
215165000,294.0,33.0,11.3,71.0,,1183,2020,2021
215172000,274.0,48.0,17.1,80.0,,310,2019,2019
215175000,295.0,33.0,11.7,71.0,,744,2022,2025
215181000,366.0,48.0,12.7,71.0,,1132,2021,2025
215182000,183.0,32.0,13.2,80.0,,1459,2015,2021
215183000,294.0,32.0,9.6,71.0,,1035,2021,2025
215185000,299.0,40.0,12.8,71.0,,1806,2021,2023
215187000,294.0,32.0,11.2,70.0,,1023,2024,2025
215189000,294.0,32.0,11.3,71.0,,1193,2021,2025
215190000,188.0,27.0,11.3,70.0,,1842,2016,2021
215192000,363.0,46.0,13.1,79.0,,1948,2021,2023
215193000,183.0,32.0,13.2,80.0,,691,2020,2023
215194000,124.0,17.0,7.2,89.0,,248,2016,2016
215196000,364.0,46.0,12.5,71.0,,1423,2021,2025
215197000,366.0,48.0,14.4,71.0,,1291,2021,2025
215209000,189.0,32.0,11.9,70.0,,532,2018,2018
215215000,299.0,40.0,11.6,71.0,,1118,2023,2025
215219000,396.0,54.0,13.5,71.0,,2168,2021,2023
215225000,364.0,46.0,12.7,71.0,,553,2024,2024
