Port,YearMonth,UniqueVessels,MeanDwellDays,MedianDwellDays,StdDwellDays,MinDwellDays,MaxDwellDays,TotalObservations,AvgVesselLength,PortName,days_ok,days_total
Houston,2019-06,415,5.245389307228916,2.734224537037037,6.20943778054562,0.016875,29.99805555555556,87631,190.57070707070707,Houston,30,30
LA_Long_Beach,2019-06,283,5.078266260960607,3.054837962962963,6.549350586466912,0.0,29.9979050925926,507735,257.7236363636364,LA_Long_Beach,30,30
NY_NJ,2019-06,273,3.290691688712522,1.3178819444444445,5.220139146608713,0.0169791666666666,27.41766203703704,87581,238.3483146067416,NY_NJ,30,30
Savannah,2019-06,174,1.5650251436781608,0.973917824074074,2.968286303177777,0.0973726851851851,27.809444444444445,115226,266.43023255813955,Savannah,30,30
Seattle,2019-06,116,3.94191081976373,1.6858333333333333,6.680067744164384,0.0039467592592592,29.998391203703704,94017,254.0990990990991,Seattle,30,30
Houston,2019-07,422,5.106566504300509,2.6403935185185183,6.380715298513147,0.0231481481481481,29.888113425925926,90847,190.6625,Houston,31,31
LA_Long_Beach,2019-07,286,4.828278538591039,3.013952546296296,6.256230649210067,0.0178472222222222,30.997546296296296,492943,254.52142857142857,LA_Long_Beach,31,31
NY_NJ,2019-07,303,3.70875966416086,1.4950462962962965,6.221553052153007,0.0158796296296296,30.46212962962963,101680,235.3904109589041,NY_NJ,31,31
Savannah,2019-07,194,1.770012886597938,1.0745138888888888,3.240726506283881,0.0730208333333333,28.243796296296296,128045,265.4764397905759,Savannah,31,31
Seattle,2019-07,128,3.64919750072338,1.599866898148148,6.166489755987179,0.0031944444444444,30.998032407407408,102372,263.22222222222223,Seattle,31,31
Houston,2019-08,429,4.5686980920314255,2.39275462962963,5.861740301277779,0.0235648148148148,29.54482638888889,88943,191.65693430656933,Houston,31,31
LA_Long_Beach,2019-08,278,5.0647301325606175,3.084918981481482,6.564197741926973,0.0474421296296296,30.997916666666665,487266,257.39272727272726,LA_Long_Beach,31,31
NY_NJ,2019-08,286,3.272349010942761,1.5063020833333334,5.0365502453598685,0.0137037037037037,30.380729166666665,89372,236.57818181818183,NY_NJ,31,31
Savannah,2019-08,195,2.1057513057929724,1.033576388888889,4.427267941072028,0.2993287037037037,30.493622685185183,142640,260.3541666666667,Savannah,31,31
Seattle,2019-08,122,3.659413422131148,1.6297858796296296,6.8348586216749965,0.0,30.99858796296296,79910,254.4672131147541,Seattle,31,31
Houston,2019-09,409,4.381235765869782,2.4019328703703704,5.60011950347384,0.0259143518518518,28.85763888888889,92959,188.64155844155843,Houston,30,30
LA_Long_Beach,2019-09,276,4.8346276167471816,2.8375,6.23787600706335,0.1038078703703703,29.99960648148148,467087,254.53333333333333,LA_Long_Beach,30,30
NY_NJ,2019-09,269,3.5003021736885582,1.3358796296296296,5.710423051757821,0.0164351851851851,29.43474537037037,81532,233.3854961832061,NY_NJ,30,30
Savannah,2019-09,182,1.4254064916564917,0.942488425925926,2.100413985235896,0.0466898148148148,18.71993055555556,110301,261.6850828729281,Savannah,30,30
Seattle,2019-09,117,3.596706928616651,1.7313425925925925,5.7004170226103605,0.0055555555555555,29.99704861111111,86533,253.4017094017094,Seattle,30,30
Houston,2019-10,420,4.831235119047619,2.4797569444444445,6.151484549482029,0.0246875,30.53615740740741,87100,190.1077694235589,Houston,31,31
LA_Long_Beach,2019-10,291,5.171379303487336,3.0752314814814814,6.887643686428768,0.0,30.99944444444445,520408,254.23693379790944,LA_Long_Beach,31,31
NY_NJ,2019-10,276,3.550449585681696,1.355306712962963,5.896216356609925,0.0039351851851851,30.40400462962963,81009,242.1060606060606,NY_NJ,31,31
Savannah,2019-10,175,2.0234760582010582,1.0933333333333333,3.939715451976754,0.0105324074074074,28.75380787037037,115188,268.4011627906977,Savannah,31,31
Seattle,2019-10,122,4.021997381602914,1.7233333333333334,6.731610404690782,0.0,30.99792824074074,84813,255.77685950413223,Seattle,31,31
Houston,2019-11,402,4.354743527731712,2.347679398148148,5.881320014263511,0.0097222222222222,28.9575925925926,88617,190.1151832460733,Houston,30,30
LA_Long_Beach,2019-11,277,5.13162262668806,2.998009259259259,6.760137294217536,0.0,29.99927083333333,464610,252.6888888888889,LA_Long_Beach,30,30
NY_NJ,2019-11,248,3.6920802531362007,1.3950983796296297,5.868068407473059,0.0167013888888888,29.315983796296297,79206,238.1446280991736,NY_NJ,30,30
Savannah,2019-11,171,1.9412252274204027,1.0640625,3.760235549555686,0.0588078703703703,28.745868055555555,115159,267.3333333333333,Savannah,30,30
Seattle,2019-11,122,3.786852990285367,1.6140162037037036,6.679989808187697,0.0052083333333333,29.997789351851853,107745,252.13333333333333,Seattle,30,30
Houston,2019-12,411,4.379756353068397,2.386701388888889,5.892586210875674,0.0269675925925925,30.491747685185185,96721,191.375,Houston,31,31
LA_Long_Beach,2019-12,306,5.282102585633019,2.7280439814814814,7.179849288352673,0.0276041666666666,30.99864583333333,554283,247.36241610738256,LA_Long_Beach,31,31
NY_NJ,2019-12,262,3.426722151540853,1.3941203703703704,5.800702116054672,0.0139814814814814,30.997777777777777,98986,238.41176470588235,NY_NJ,31,31
Savannah,2019-12,169,1.7300775942362483,1.116875,2.6493173068702096,0.1768634259259259,21.313136574074075,128258,261.93333333333334,Savannah,31,31
Seattle,2019-12,113,3.826670149131432,1.6044444444444443,6.596536340543897,0.0065972222222222,30.999571759259258,116348,248.99107142857144,Seattle,31,31
Houston,2020-01,413,4.898162244417541,2.4844560185185185,6.6736841931338295,0.022824074074074,30.99833333333333,103727,190.38832487309645,Houston,31,31
LA_Long_Beach,2020-01,289,5.396185801935153,2.649953703703704,7.576717061552152,0.0104282407407407,30.99891203703704,520850,249.32269503546092,LA_Long_Beach,31,31
NY_NJ,2020-01,250,3.588238009259259,1.4188252314814815,5.740653735022515,0.0,30.99804398148148,79727,241.9798387096774,NY_NJ,31,31
Savannah,2020-01,162,1.5225703732281664,1.0775,2.175266166186133,0.0024305555555555,21.38462962962963,107651,272.17391304347825,Savannah,31,31
Seattle,2020-01,113,4.681049143723369,1.7030092592592592,7.459174340407413,0.0070833333333333,30.999293981481483,132773,250.1504424778761,Seattle,31,31
Houston,2020-02,391,4.520992972672161,2.713356481481481,5.737325885243351,0.0016203703703703,28.997233796296296,94179,191.6981132075472,Houston,29,29
