port,year,pollutant,extracted_category_sum,published_total,difference,rounding_tolerance,pass,reported_unit,page,source_file,source_sha256
POLB,2022,PM10,126.000000,125.000000,1.000000,1.250000,True,short_tons,65,polb_2022_air_emissions_inventory.pdf,01282ed3b0d057b6cd1674072b6eaaa2b8152b5e21747c0412fff32c4078fa7e
POLB,2022,PM2.5,115.000000,115.000000,0.000000,1.150000,True,short_tons,65,polb_2022_air_emissions_inventory.pdf,01282ed3b0d057b6cd1674072b6eaaa2b8152b5e21747c0412fff32c4078fa7e
POLB,2022,DPM,84.000000,84.000000,0.000000,1.000000,True,short_tons,65,polb_2022_air_emissions_inventory.pdf,01282ed3b0d057b6cd1674072b6eaaa2b8152b5e21747c0412fff32c4078fa7e
POLB,2022,NOx,5536.000000,5535.000000,1.000000,55.350000,True,short_tons,65,polb_2022_air_emissions_inventory.pdf,01282ed3b0d057b6cd1674072b6eaaa2b8152b5e21747c0412fff32c4078fa7e
POLB,2022,SOx,191.000000,192.000000,-1.000000,1.920000,True,short_tons,65,polb_2022_air_emissions_inventory.pdf,01282ed3b0d057b6cd1674072b6eaaa2b8152b5e21747c0412fff32c4078fa7e
POLB,2022,CO,2003.000000,2002.000000,1.000000,20.020000,True,short_tons,65,polb_2022_air_emissions_inventory.pdf,01282ed3b0d057b6cd1674072b6eaaa2b8152b5e21747c0412fff32c4078fa7e
POLB,2022,HC,268.000000,268.000000,0.000000,2.680000,True,short_tons,65,polb_2022_air_emissions_inventory.pdf,01282ed3b0d057b6cd1674072b6eaaa2b8152b5e21747c0412fff32c4078fa7e
POLB,2022,CO2e,966768.000000,966768.000000,0.000000,9667.680000,True,metric_tonnes,65,polb_2022_air_emissions_inventory.pdf,01282ed3b0d057b6cd1674072b6eaaa2b8152b5e21747c0412fff32c4078fa7e
POLA,2023,PM10,89.000000,90.000000,-1.000000,1.000000,True,short_tons,85,pola_2023_air_emissions_inventory.pdf,3bd0c855d4d55fc9572da8d6fb3224cb468493445e1cfb7a531899a1346651de
POLA,2023,PM2.5,83.000000,83.000000,0.000000,1.000000,True,short_tons,85,pola_2023_air_emissions_inventory.pdf,3bd0c855d4d55fc9572da8d6fb3224cb468493445e1cfb7a531899a1346651de
POLA,2023,DPM,74.000000,75.000000,-1.000000,1.000000,True,short_tons,85,pola_2023_air_emissions_inventory.pdf,3bd0c855d4d55fc9572da8d6fb3224cb468493445e1cfb7a531899a1346651de
POLA,2023,NOx,4078.000000,4078.000000,0.000000,40.780000,True,short_tons,85,pola_2023_air_emissions_inventory.pdf,3bd0c855d4d55fc9572da8d6fb3224cb468493445e1cfb7a531899a1346651de
POLA,2023,SOx,83.000000,82.000000,1.000000,1.000000,True,short_tons,85,pola_2023_air_emissions_inventory.pdf,3bd0c855d4d55fc9572da8d6fb3224cb468493445e1cfb7a531899a1346651de
POLA,2023,CO,1377.000000,1377.000000,0.000000,13.770000,True,short_tons,85,pola_2023_air_emissions_inventory.pdf,3bd0c855d4d55fc9572da8d6fb3224cb468493445e1cfb7a531899a1346651de
POLA,2023,HC,285.000000,285.000000,0.000000,2.850000,True,short_tons,85,pola_2023_air_emissions_inventory.pdf,3bd0c855d4d55fc9572da8d6fb3224cb468493445e1cfb7a531899a1346651de
POLA,2023,CO2e,773332.000000,773331.000000,1.000000,7733.310000,True,metric_tonnes,85,pola_2023_air_emissions_inventory.pdf,3bd0c855d4d55fc9572da8d6fb3224cb468493445e1cfb7a531899a1346651de
POLB,2023,PM10,108.000000,109.000000,-1.000000,1.090000,True,short_tons,65,polb_2023_air_emissions_inventory.pdf,b2e01fab0b96f086edbbf4bc50e6b2edd8cbd0fd815d6a63abae1ba360c01e98
POLB,2023,PM2.5,99.000000,100.000000,-1.000000,1.000000,True,short_tons,65,polb_2023_air_emissions_inventory.pdf,b2e01fab0b96f086edbbf4bc50e6b2edd8cbd0fd815d6a63abae1ba360c01e98
POLB,2023,DPM,71.000000,71.000000,0.000000,1.000000,True,short_tons,65,polb_2023_air_emissions_inventory.pdf,b2e01fab0b96f086edbbf4bc50e6b2edd8cbd0fd815d6a63abae1ba360c01e98
POLB,2023,NOx,4394.000000,4394.000000,0.000000,43.940000,True,short_tons,65,polb_2023_air_emissions_inventory.pdf,b2e01fab0b96f086edbbf4bc50e6b2edd8cbd0fd815d6a63abae1ba360c01e98
POLB,2023,SOx,169.000000,170.000000,-1.000000,1.700000,True,short_tons,65,polb_2023_air_emissions_inventory.pdf,b2e01fab0b96f086edbbf4bc50e6b2edd8cbd0fd815d6a63abae1ba360c01e98
POLB,2023,CO,1490.000000,1491.000000,-1.000000,14.910000,True,short_tons,65,polb_2023_air_emissions_inventory.pdf,b2e01fab0b96f086edbbf4bc50e6b2edd8cbd0fd815d6a63abae1ba360c01e98
POLB,2023,HC,226.000000,225.000000,1.000000,2.250000,True,short_tons,65,polb_2023_air_emissions_inventory.pdf,b2e01fab0b96f086edbbf4bc50e6b2edd8cbd0fd815d6a63abae1ba360c01e98
POLB,2023,CO2e,812075.000000,812074.000000,1.000000,8120.740000,True,metric_tonnes,65,polb_2023_air_emissions_inventory.pdf,b2e01fab0b96f086edbbf4bc50e6b2edd8cbd0fd815d6a63abae1ba360c01e98
POLA,2024,PM10,97.000000,96.000000,1.000000,1.000000,True,short_tons,86,pola_2024_air_emissions_inventory.pdf,ab42af4978d05054a0e93560517f94e6214b273755759969f248837db8b55d95
POLA,2024,PM2.5,88.000000,89.000000,-1.000000,1.000000,True,short_tons,86,pola_2024_air_emissions_inventory.pdf,ab42af4978d05054a0e93560517f94e6214b273755759969f248837db8b55d95
POLA,2024,DPM,81.000000,80.000000,1.000000,1.000000,True,short_tons,86,pola_2024_air_emissions_inventory.pdf,ab42af4978d05054a0e93560517f94e6214b273755759969f248837db8b55d95
POLA,2024,NOx,4099.000000,4098.000000,1.000000,40.980000,True,short_tons,86,pola_2024_air_emissions_inventory.pdf,ab42af4978d05054a0e93560517f94e6214b273755759969f248837db8b55d95
POLA,2024,SOx,87.000000,86.000000,1.000000,1.000000,True,short_tons,86,pola_2024_air_emissions_inventory.pdf,ab42af4978d05054a0e93560517f94e6214b273755759969f248837db8b55d95
POLA,2024,CO,1300.000000,1300.000000,0.000000,13.000000,True,short_tons,86,pola_2024_air_emissions_inventory.pdf,ab42af4978d05054a0e93560517f94e6214b273755759969f248837db8b55d95
POLA,2024,HC,263.000000,263.000000,0.000000,2.630000,True,short_tons,86,pola_2024_air_emissions_inventory.pdf,ab42af4978d05054a0e93560517f94e6214b273755759969f248837db8b55d95
POLA,2024,CO2e,836190.000000,836190.000000,0.000000,8361.900000,True,metric_tonnes,86,pola_2024_air_emissions_inventory.pdf,ab42af4978d05054a0e93560517f94e6214b273755759969f248837db8b55d95
POLB,2024,PM10,125.000000,124.000000,1.000000,1.240000,True,short_tons,65,polb_2024_air_emissions_inventory.pdf,c1f4b3baef9cfd669812b343dbc665ffbf3251a7c1b503fd125a5a2c03a714c7
POLB,2024,PM2.5,114.000000,115.000000,-1.000000,1.150000,True,short_tons,65,polb_2024_air_emissions_inventory.pdf,c1f4b3baef9cfd669812b343dbc665ffbf3251a7c1b503fd125a5a2c03a714c7
POLB,2024,DPM,88.000000,87.000000,1.000000,1.000000,True,short_tons,65,polb_2024_air_emissions_inventory.pdf,c1f4b3baef9cfd669812b343dbc665ffbf3251a7c1b503fd125a5a2c03a714c7
POLB,2024,NOx,4901.000000,4901.000000,0.000000,49.010000,True,short_tons,65,polb_2024_air_emissions_inventory.pdf,c1f4b3baef9cfd669812b343dbc665ffbf3251a7c1b503fd125a5a2c03a714c7
POLB,2024,SOx,168.000000,167.000000,1.000000,1.670000,True,short_tons,65,polb_2024_air_emissions_inventory.pdf,c1f4b3baef9cfd669812b343dbc665ffbf3251a7c1b503fd125a5a2c03a714c7
POLB,2024,CO,2007.000000,2007.000000,0.000000,20.070000,True,short_tons,65,polb_2024_air_emissions_inventory.pdf,c1f4b3baef9cfd669812b343dbc665ffbf3251a7c1b503fd125a5a2c03a714c7
POLB,2024,HC,274.000000,274.000000,0.000000,2.740000,True,short_tons,65,polb_2024_air_emissions_inventory.pdf,c1f4b3baef9cfd669812b343dbc665ffbf3251a7c1b503fd125a5a2c03a714c7
POLB,2024,CO2e,963351.000000,963350.000000,1.000000,9633.500000,True,metric_tonnes,65,polb_2024_air_emissions_inventory.pdf,c1f4b3baef9cfd669812b343dbc665ffbf3251a7c1b503fd125a5a2c03a714c7
