port_complex_id,port_complex_name,coast,component_port_codes,geometry_version,source_vintage,operational_rule
richmond_ca,"Richmond, Ca",Pacific,2812,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
richmond_petersburg_va,"Richmond-Petersburg, Va",Atlantic,1404,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
sabine_tx,"Sabine, Tx",Gulf,2102,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
salem_ma,"Salem, Ma",Atlantic,0408,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
san_diego_ca,"San Diego, Ca",Pacific,2501,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
san_francisco_ca,"San Francisco, Ca",Pacific,2809,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
san_joaquin_river_ca,"San Joaquin River, Ca",Pacific,2828,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
san_pablo_bay_ca,"San Pablo Bay, Ca",Pacific,2829,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
san_pedro_bay,San Pedro Bay (Los Angeles/Long Beach),Pacific,2704;2709,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,shared_harbour_approach
savannah_ga,"Savannah, Ga",Atlantic,1703,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
searsport_me,"Searsport, Me",Atlantic,0152,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
seattle_wa,"Seattle, Wa",Pacific,3001,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
selby_ca,"Selby, Ca",Pacific,2827,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
st_petersburg_fl,"St. Petersburg, Fl",Gulf,1814,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
stockton_ca,"Stockton, Ca",Pacific,2810,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
tacoma_wa,"Tacoma, Wa",Pacific,3002,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
tampa_fl,"Tampa, Fl",Gulf,1801,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
texas_city_tx,"Texas City, Tx",Gulf,5306,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
vancouver_wa,"Vancouver, Wa",Pacific,2908,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
ventura_ca,"Ventura, Ca",Pacific,2712,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
vicksburg_ms,"Vicksburg, Ms",Gulf,2015,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
washington_dc,"Washington, Dc",Atlantic,5401,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
west_palm_beach_fl,"West Palm Beach, Fl",Atlantic,5204,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
wilmington_de,"Wilmington, De",Atlantic,1103,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
wilmington_nc,"Wilmington, Nc",Atlantic,1501,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
