date,all_u_s_container_ports,los_angeles_long_beach,savannah,all_other_ports,days_included,low_0-50nm,low_50-150nm,low_150-300nm,low_total_0_300,movement_total_0_300
2022-05-31 00:00:00+00:00,85.0,30.0,20.0,35.0,7,894.2857142857143,105.57142857142857,252.42857142857142,1252.2857142857142,436.2857142857143
2022-06-07 00:00:00+00:00,77.0,25.0,18.0,34.0,7,909.0,95.42857142857143,219.85714285714286,1224.2857142857142,464.85714285714283
2022-06-14 00:00:00+00:00,88.0,28.0,24.0,36.0,7,885.8571428571429,170.71428571428572,184.85714285714286,1241.4285714285713,516.8571428571429
2022-06-21 00:00:00+00:00,93.0,28.0,28.0,37.0,7,869.4285714285714,114.28571428571429,185.28571428571428,1169.0,444.57142857142856
2022-06-28 00:00:00+00:00,92.0,21.0,32.0,39.0,7,920.4285714285714,138.71428571428572,149.14285714285714,1208.2857142857142,535.7142857142857
2022-07-05 00:00:00+00:00,113.0,24.0,37.0,52.0,7,954.1428571428571,129.0,201.42857142857142,1284.5714285714287,512.5714285714286
2022-07-12 00:00:00+00:00,114.0,28.0,39.0,47.0,7,926.8571428571429,258.14285714285717,240.0,1425.0,511.85714285714283
2022-07-19 00:00:00+00:00,109.0,24.0,37.0,48.0,7,960.7142857142857,243.85714285714286,197.14285714285714,1401.7142857142858,521.0
2022-07-26 00:00:00+00:00,119.0,23.0,40.0,56.0,7,850.8571428571429,227.85714285714286,127.57142857142857,1206.2857142857142,546.1428571428571
2022-08-02 00:00:00+00:00,117.0,22.0,40.0,55.0,7,824.0,214.42857142857142,113.28571428571429,1151.7142857142858,513.8571428571429
2022-08-09 00:00:00+00:00,95.0,10.0,40.0,45.0,7,941.8571428571429,172.0,159.0,1272.857142857143,587.4285714285714
2022-08-16 00:00:00+00:00,103.0,16.0,35.0,52.0,7,886.5714285714286,175.28571428571428,117.42857142857143,1179.2857142857142,457.42857142857144
2022-08-23 00:00:00+00:00,101.0,11.0,41.0,49.0,7,813.5714285714286,157.85714285714286,179.28571428571428,1150.7142857142858,539.0
2022-08-30 00:00:00+00:00,103.0,11.0,41.0,51.0,7,800.4285714285714,183.0,97.28571428571429,1080.7142857142858,460.57142857142856
2022-09-06 00:00:00+00:00,115.0,11.0,43.0,61.0,7,786.8571428571429,198.14285714285714,71.14285714285714,1056.142857142857,405.0
2022-09-13 00:00:00+00:00,98.0,10.0,36.0,52.0,7,857.4285714285714,151.71428571428572,139.14285714285714,1148.2857142857142,360.7142857142857
2022-09-20 00:00:00+00:00,96.0,9.0,27.0,60.0,7,772.5714285714286,209.0,142.71428571428572,1124.2857142857142,520.1428571428571
2022-09-27 00:00:00+00:00,86.0,9.0,30.0,47.0,7,747.4285714285714,199.57142857142858,109.42857142857143,1056.4285714285713,400.0
2022-10-04 00:00:00+00:00,81.0,6.0,37.0,38.0,7,644.2857142857143,126.71428571428571,98.42857142857143,869.4285714285714,449.0
2022-10-11 00:00:00+00:00,83.0,9.0,35.0,39.0,7,620.1428571428571,117.14285714285714,97.71428571428571,835.0,421.57142857142856
