Port,YearMonth,gap_threshold_h,MeanDwellDays_segmented,MedianDwellDays_segmented,UniqueCalls,UniqueVessels,correlation_with_primary_series
Savannah,2017-05,12,0.9714008033769064,0.7627719907407408,136,126,0.48107441684487784
Savannah,2017-06,12,1.0720267592592594,0.8074074074074075,125,116,0.48107441684487784
Savannah,2017-07,12,1.1622147032981887,0.8418634259259259,137,124,0.48107441684487784
Savannah,2017-08,12,1.1885992678725237,0.8905092592592593,129,121,0.48107441684487784
Savannah,2017-09,12,1.1420706893868657,0.8674537037037037,119,112,0.48107441684487784
Savannah,2017-10,12,1.115281550068587,0.9241782407407407,135,127,0.48107441684487784
Savannah,2017-11,12,1.2151310809817755,0.9486979166666667,126,123,0.48107441684487784
Savannah,2017-12,12,1.2113845621322257,1.0158333333333334,107,104,0.48107441684487784
Savannah,2018-01,12,1.4149728065444085,1.0391898148148149,206,201,0.48107441684487784
Savannah,2018-02,12,1.4213420202482703,1.1864293981481482,182,178,0.48107441684487784
Savannah,2018-03,12,1.1545543173987942,0.9389236111111111,215,200,0.48107441684487784
Savannah,2018-04,12,1.2547625151436483,0.9703298611111111,214,209,0.48107441684487784
Savannah,2018-05,12,1.3275758866177498,1.0453935185185186,212,204,0.48107441684487784
Savannah,2018-06,12,1.2526300451092116,0.9850462962962963,195,188,0.48107441684487784
Savannah,2018-07,12,1.2413425361336947,0.9742939814814815,205,193,0.48107441684487784
Savannah,2018-08,12,1.1858339238473168,0.9630844907407408,196,188,0.48107441684487784
Savannah,2018-09,12,1.3602643824027072,0.9742824074074075,197,191,0.48107441684487784
Savannah,2018-10,12,1.1793513336097292,0.9991666666666666,201,197,0.48107441684487784
Savannah,2018-11,12,1.2564343584656086,1.013894675925926,182,178,0.48107441684487784
Savannah,2018-12,12,1.4098824130879346,1.02,163,162,0.48107441684487784
Savannah,2019-01,12,1.2769183039747063,1.0665277777777777,205,200,0.48107441684487784
Savannah,2019-02,12,1.5150216194968553,1.1495833333333334,159,156,0.48107441684487784
Savannah,2019-03,12,1.2984551909422375,1.0847222222222221,193,190,0.48107441684487784
Savannah,2019-04,12,1.2684510469276093,1.0079108796296294,176,170,0.48107441684487784
Savannah,2019-05,12,1.2778933413643236,0.9928125,196,189,0.48107441684487784
Savannah,2019-06,12,1.1617319023569024,0.9617476851851852,176,169,0.48107441684487784
Savannah,2019-07,12,1.2614179409839132,0.9949131944444445,198,187,0.48107441684487784
Savannah,2019-08,12,1.2950331178951227,0.9778935185185185,202,191,0.48107441684487784
Savannah,2019-09,12,1.170680972981178,0.9033912037037037,183,177,0.48107441684487784
Savannah,2019-10,12,1.2679494382022471,1.0577662037037037,178,168,0.48107441684487784
Savannah,2019-11,12,1.2186937352815244,0.9661342592592592,173,165,0.48107441684487784
Savannah,2019-12,12,1.4690071939454425,1.0802662037037036,167,163,0.48107441684487784
Savannah,2020-01,12,1.2917477536708306,1.0509722222222222,169,162,0.48107441684487784
Savannah,2020-02,12,1.2232755371557456,1.0372627314814815,156,145,0.48107441684487784
Savannah,2020-03,12,1.3168176907968574,1.044363425925926,165,162,0.48107441684487784
Savannah,2020-04,12,1.1988532468727005,1.052349537037037,151,146,0.48107441684487784
Savannah,2020-05,12,1.4510931629092862,1.0148900462962964,138,132,0.48107441684487784
Savannah,2020-06,12,1.3250664747807017,1.0149016203703702,152,146,0.48107441684487784
Savannah,2020-09,12,1.2622708047553726,0.9551099537037038,162,151,0.48107441684487784
Savannah,2020-10,12,1.2894251292688794,1.095949074074074,154,149,0.48107441684487784
Savannah,2020-11,12,1.358347294560185,1.060949074074074,160,154,0.48107441684487784
Savannah,2020-12,12,1.4045898919753088,1.1232465277777777,150,142,0.48107441684487784
Savannah,2021-01,12,1.3852367107318162,1.1397395833333333,166,155,0.48107441684487784
Savannah,2021-02,12,1.599124322493225,1.2849768518518518,123,121,0.48107441684487784
Savannah,2021-03,12,1.508533996274381,1.3266319444444445,169,162,0.48107441684487784
Savannah,2021-04,12,1.573333215830043,1.4275462962962964,197,189,0.48107441684487784
Savannah,2021-05,12,1.6556710140018067,1.347361111111111,205,193,0.48107441684487784
Savannah,2021-06,12,1.6077485246235246,1.2941782407407407,182,175,0.48107441684487784
Savannah,2021-07,12,1.4759957901554404,1.3028125,193,182,0.48107441684487784
Savannah,2021-08,12,1.6732809856175972,1.4910185185185185,197,189,0.48107441684487784
Savannah,2021-09,12,1.7979329648526077,1.4622800925925925,196,189,0.48107441684487784
Savannah,2021-10,12,1.7077425948958909,1.5009837962962962,201,190,0.48107441684487784
Savannah,2021-11,12,1.8590374950485247,1.6094560185185185,187,182,0.48107441684487784
Savannah,2021-12,12,1.7203157644824312,1.3997569444444444,195,180,0.48107441684487784
Savannah,2022-01,12,1.971167619825708,1.682939814814815,187,181,0.48107441684487784
Savannah,2022-02,12,1.966113891895142,1.531903935185185,154,149,0.48107441684487784
Savannah,2022-03,12,1.8261679459064328,1.5325173611111111,190,176,0.48107441684487784
Savannah,2022-04,12,1.7644443822182398,1.4755034722222222,186,174,0.48107441684487784
Savannah,2022-05,12,1.9330976876347248,1.689513888888889,189,181,0.48107441684487784
Savannah,2022-06,12,2.0101783942743765,1.5894155092592592,196,183,0.48107441684487784
Savannah,2022-07,12,1.6872240853658538,1.431701388888889,205,177,0.48107441684487784
Savannah,2022-08,12,2.0007381750592956,1.6018402777777778,203,195,0.48107441684487784
Savannah,2022-09,12,1.7862588666883257,1.534548611111111,171,159,0.48107441684487784
Savannah,2022-10,12,2.01990167882529,1.669855324074074,198,190,0.48107441684487784
Savannah,2022-11,12,1.9725341934574168,1.59125,197,187,0.48107441684487784
Savannah,2022-12,12,1.5953555240449873,1.4269444444444443,191,181,0.48107441684487784
Savannah,2023-01,12,1.8216744978809654,1.396412037037037,201,193,0.48107441684487784
Savannah,2023-02,12,1.8048708847736625,1.4089872685185185,180,175,0.48107441684487784
Savannah,2024-01,12,1.7313853479621175,1.4479513888888889,219,202,0.48107441684487784
Savannah,2024-02,12,1.6943512490354937,1.3965162037037038,192,184,0.48107441684487784
Savannah,2024-03,12,1.6997817930489731,1.386388888888889,211,189,0.48107441684487784
Savannah,2024-04,12,1.6175113023821943,1.2423726851851853,213,193,0.48107441684487784
Savannah,2024-05,12,1.572871120541838,1.253767361111111,216,192,0.48107441684487784
Savannah,2024-06,12,1.6301170327304049,1.248773148148148,215,192,0.48107441684487784
Savannah,2024-07,12,1.7764296564980158,1.2757349537037037,224,202,0.48107441684487784
Savannah,2024-08,12,1.644777777777778,1.319537037037037,205,189,0.48107441684487784
Savannah,2024-09,12,2.2034768392025907,1.2577430555555555,183,165,0.48107441684487784
Savannah,2024-10,12,1.6439771262886598,1.3234027777777777,194,179,0.48107441684487784
Savannah,2024-11,12,1.667359895833333,1.3792418981481482,200,182,0.48107441684487784
Savannah,2024-12,12,1.6136644144144143,1.3384837962962963,185,166,0.48107441684487784
Savannah,2025-01,12,2.373934732567763,1.4876041666666666,179,165,0.48107441684487784
Savannah,2025-02,12,1.5859918478260868,1.4280208333333333,184,166,0.48107441684487784
Savannah,2025-03,12,1.5575489544568493,1.355949074074074,209,192,0.48107441684487784
Savannah,2025-04,12,1.6722307822145062,1.3725810185185185,192,183,0.48107441684487784
Savannah,2025-05,12,1.7879709279171645,1.410949074074074,186,173,0.48107441684487784
Savannah,2025-06,12,2.299539257644272,1.4182407407407407,172,167,0.48107441684487784
Savannah,2025-07,12,1.75945011091821,1.3580613425925927,192,186,0.48107441684487784
Savannah,2025-08,12,1.5737861919459142,1.380324074074074,189,178,0.48107441684487784
Savannah,2025-09,12,2.016181355890465,1.2762094907407406,188,178,0.48107441684487784
Savannah,2025-10,12,1.6508418169478378,1.2939351851851852,191,176,0.48107441684487784
Savannah,2025-11,12,1.6700235908722931,1.2815625,183,175,0.48107441684487784
Savannah,2025-12,12,1.4802203871617732,1.1574074074074074,193,177,0.48107441684487784
Savannah,2008-12,24,3.7372685185185186,0.3013888888888889,3,3,0.4997382865118677
Savannah,2009-01,24,1.1488860544217687,0.8111111111111111,245,210,0.4997382865118677
Savannah,2009-02,24,1.283915544332211,0.8649305555555555,198,189,0.4997382865118677
Savannah,2009-03,24,1.1762433862433863,0.8027777777777778,210,200,0.4997382865118677
Savannah,2009-04,24,1.235991043613707,0.7774305555555556,214,202,0.4997382865118677
Savannah,2009-05,24,1.199389927310488,0.7996527777777778,214,210,0.4997382865118677
Savannah,2009-06,24,0.8546401515151515,0.8086805555555555,22,22,0.4997382865118677
Savannah,2009-07,24,0.9964794685990338,0.76875,230,218,0.4997382865118677
Savannah,2009-08,24,1.063368794326241,0.7909722222222222,235,217,0.4997382865118677
Savannah,2009-09,24,1.0127006880733946,0.7729166666666667,218,202,0.4997382865118677
Savannah,2009-10,24,1.068582175925926,0.7989583333333333,240,221,0.4997382865118677
Savannah,2009-11,24,1.1439076757917337,0.8229166666666666,207,198,0.4997382865118677
Savannah,2009-12,24,1.2822932968179448,0.84375,213,203,0.4997382865118677
Savannah,2010-01,24,1.0140330743879473,0.828125,236,203,0.4997382865118677
Savannah,2010-02,24,1.176366383744856,0.8788194444444444,216,192,0.4997382865118677
Savannah,2010-03,24,1.2857456140350876,0.8642361111111111,228,210,0.4997382865118677
Savannah,2010-04,24,1.3431309703368528,0.8180555555555555,221,207,0.4997382865118677
Savannah,2010-05,24,1.228481049905838,0.8916666666666666,236,219,0.4997382865118677
Savannah,2010-06,24,1.10818198005698,0.867013888888889,234,215,0.4997382865118677
Savannah,2010-07,24,1.1114128173116937,0.8194444444444444,267,240,0.4997382865118677
Savannah,2010-08,24,1.1429398148148147,0.8104166666666667,240,226,0.4997382865118677
Savannah,2010-09,24,1.025060013717421,0.8048611111111111,243,222,0.4997382865118677
Savannah,2010-11,24,0.9747032042415861,0.7680555555555556,241,217,0.4997382865118677
Savannah,2010-12,24,1.16699484294421,0.7986111111111112,237,217,0.4997382865118677
Savannah,2011-01,24,1.0684015151515152,0.7951388888888888,275,232,0.4997382865118677
Savannah,2011-02,24,1.0178003323836657,0.7954861111111111,234,212,0.4997382865118677
Savannah,2011-03,24,1.011492917220009,0.7833333333333333,251,229,0.4997382865118677
Savannah,2011-04,24,1.0059111783154122,0.8229166666666667,248,234,0.4997382865118677
Savannah,2011-05,24,1.0623951247165533,0.7895833333333333,245,230,0.4997382865118677
Savannah,2011-06,24,1.0689592050209205,0.84375,239,225,0.4997382865118677
Savannah,2011-07,24,1.0898211942257219,0.8680555555555556,254,238,0.4997382865118677
Savannah,2011-08,24,1.1207196411012783,0.8423611111111111,226,213,0.4997382865118677
Savannah,2011-09,24,1.1040798611111111,0.7833333333333333,256,238,0.4997382865118677
Savannah,2011-10,24,1.223074751580849,0.8409722222222222,246,234,0.4997382865118677
Savannah,2011-11,24,1.0883649553571428,0.7954861111111111,224,217,0.4997382865118677
Savannah,2011-12,24,1.0539391762452106,0.7552083333333333,232,218,0.4997382865118677
Savannah,2012-01,24,1.0042773192878869,0.7367476851851852,207,199,0.4997382865118677
Savannah,2012-02,24,1.152671263539483,0.8208854166666666,212,202,0.4997382865118677
Savannah,2012-03,24,1.2351044868979653,0.8396180555555556,253,245,0.4997382865118677
Savannah,2012-04,24,1.0384786975852505,0.8003472222222222,227,221,0.4997382865118677
Savannah,2012-05,24,1.0701880787037037,0.8417592592592593,232,222,0.4997382865118677
Savannah,2012-06,24,1.0609480042016808,0.7831192129629629,238,229,0.4997382865118677
Savannah,2012-07,24,1.1136288214399743,0.8258101851851851,232,226,0.4997382865118677
Savannah,2012-08,24,1.0633601046698873,0.7898784722222222,230,221,0.4997382865118677
Savannah,2012-09,24,1.1508510670004768,0.8059027777777777,233,223,0.4997382865118677
Savannah,2012-10,24,1.0229696235150245,0.8276967592592592,212,207,0.4997382865118677
Savannah,2012-11,24,1.1389208743842365,0.799050925925926,203,198,0.4997382865118677
Savannah,2012-12,24,1.3089388227513228,0.9587268518518519,210,207,0.4997382865118677
Savannah,2013-01,24,1.1351738990234015,0.832025462962963,201,195,0.4997382865118677
Savannah,2013-02,24,1.2477950117012617,0.8972858796296297,182,179,0.4997382865118677
Savannah,2013-03,24,1.2331530671296296,0.8341261574074075,200,193,0.4997382865118677
Savannah,2013-04,24,1.101958557728647,0.8500925925925926,196,194,0.4997382865118677
Savannah,2013-05,24,1.1077761164274322,0.8403240740740741,209,204,0.4997382865118677
Savannah,2013-06,24,1.1530880949480182,0.8323553240740741,228,221,0.4997382865118677
Savannah,2013-07,24,1.0898440117252932,0.7922569444444445,199,195,0.4997382865118677
Savannah,2013-08,24,1.1706940744968715,0.8404513888888889,219,215,0.4997382865118677
Savannah,2013-09,24,1.0725099206349207,0.8102314814814815,189,186,0.4997382865118677
