week_start,speed_bin,ring,mean_daily_hours,days_included
2019-05-20,6-10,0-50nm,44.57142857142857,7
2019-05-20,6-10,150-300nm,42.285714285714285,7
2019-05-20,6-10,50-150nm,60.714285714285715,7
2019-05-20,<2,0-50nm,466.57142857142856,7
2019-05-20,<2,150-300nm,74.71428571428571,7
2019-05-20,<2,50-150nm,77.57142857142857,7
2019-05-20,>25,0-50nm,0.0,7
2019-05-20,>25,150-300nm,0.0,7
2019-05-20,>25,50-150nm,0.0,7
2019-05-27,10-15,0-50nm,30.142857142857142,7
2019-05-27,10-15,150-300nm,160.71428571428572,7
2019-05-27,10-15,50-150nm,56.714285714285715,7
2019-05-27,15-25,0-50nm,2.142857142857143,7
2019-05-27,15-25,150-300nm,127.0,7
2019-05-27,15-25,50-150nm,30.285714285714285,7
2019-05-27,2-4,0-50nm,4.857142857142857,7
2019-05-27,2-4,150-300nm,2.7142857142857144,7
2019-05-27,2-4,50-150nm,2.2857142857142856,7
2019-05-27,4-6,0-50nm,6.285714285714286,7
2019-05-27,4-6,150-300nm,1.0,7
2019-05-27,4-6,50-150nm,1.8571428571428572,7
2019-05-27,6-10,0-50nm,39.0,7
2019-05-27,6-10,150-300nm,22.571428571428573,7
2019-05-27,6-10,50-150nm,52.285714285714285,7
2019-05-27,<2,0-50nm,491.85714285714283,7
2019-05-27,<2,150-300nm,24.142857142857142,7
2019-05-27,<2,50-150nm,48.857142857142854,7
2019-05-27,>25,0-50nm,0.0,7
2019-05-27,>25,150-300nm,0.0,7
2019-05-27,>25,50-150nm,0.0,7
2019-06-03,10-15,0-50nm,37.857142857142854,7
2019-06-03,10-15,150-300nm,146.71428571428572,7
2019-06-03,10-15,50-150nm,67.28571428571429,7
2019-06-03,15-25,0-50nm,3.857142857142857,7
2019-06-03,15-25,150-300nm,158.0,7
2019-06-03,15-25,50-150nm,38.857142857142854,7
2019-06-03,2-4,0-50nm,4.857142857142857,7
2019-06-03,2-4,150-300nm,2.2857142857142856,7
2019-06-03,2-4,50-150nm,2.142857142857143,7
2019-06-03,4-6,0-50nm,6.285714285714286,7
2019-06-03,4-6,150-300nm,1.2857142857142858,7
2019-06-03,4-6,50-150nm,2.4285714285714284,7
2019-06-03,6-10,0-50nm,45.0,7
2019-06-03,6-10,150-300nm,21.428571428571427,7
2019-06-03,6-10,50-150nm,47.714285714285715,7
2019-06-03,<2,0-50nm,457.85714285714283,7
2019-06-03,<2,150-300nm,11.0,7
2019-06-03,<2,50-150nm,67.57142857142857,7
2019-06-03,>25,0-50nm,0.0,7
2019-06-03,>25,150-300nm,0.0,7
2019-06-03,>25,50-150nm,0.0,7
2019-06-10,10-15,0-50nm,37.285714285714285,7
2019-06-10,10-15,150-300nm,196.42857142857142,7
2019-06-10,10-15,50-150nm,70.71428571428571,7
2019-06-10,15-25,0-50nm,2.2857142857142856,7
2019-06-10,15-25,150-300nm,144.71428571428572,7
2019-06-10,15-25,50-150nm,27.571428571428573,7
2019-06-10,2-4,0-50nm,4.571428571428571,7
2019-06-10,2-4,150-300nm,1.1428571428571428,7
2019-06-10,2-4,50-150nm,2.2857142857142856,7
2019-06-10,4-6,0-50nm,6.285714285714286,7
2019-06-10,4-6,150-300nm,0.8571428571428571,7
2019-06-10,4-6,50-150nm,3.0,7
2019-06-10,6-10,0-50nm,39.57142857142857,7
2019-06-10,6-10,150-300nm,25.142857142857142,7
2019-06-10,6-10,50-150nm,52.142857142857146,7
2019-06-10,<2,0-50nm,460.14285714285717,7
2019-06-10,<2,150-300nm,33.714285714285715,7
2019-06-10,<2,50-150nm,87.28571428571429,7
2019-06-10,>25,0-50nm,0.0,7
2019-06-10,>25,150-300nm,0.0,7
2019-06-10,>25,50-150nm,0.0,7
2019-06-17,10-15,0-50nm,37.285714285714285,7
2019-06-17,10-15,150-300nm,147.28571428571428,7
2019-06-17,10-15,50-150nm,67.71428571428571,7
2019-06-17,15-25,0-50nm,2.857142857142857,7
2019-06-17,15-25,150-300nm,129.57142857142858,7
2019-06-17,15-25,50-150nm,34.714285714285715,7
2019-06-17,2-4,0-50nm,4.714285714285714,7
2019-06-17,2-4,150-300nm,1.0,7
2019-06-17,2-4,50-150nm,1.7142857142857142,7
2019-06-17,4-6,0-50nm,6.285714285714286,7
2019-06-17,4-6,150-300nm,0.8571428571428571,7
2019-06-17,4-6,50-150nm,2.0,7
2019-06-17,6-10,0-50nm,42.857142857142854,7
2019-06-17,6-10,150-300nm,23.571428571428573,7
2019-06-17,6-10,50-150nm,51.42857142857143,7
2019-06-17,<2,0-50nm,508.57142857142856,7
2019-06-17,<2,150-300nm,68.57142857142857,7
2019-06-17,<2,50-150nm,73.71428571428571,7
2019-06-17,>25,0-50nm,0.0,7
2019-06-17,>25,150-300nm,0.0,7
2019-06-17,>25,50-150nm,0.0,7
2019-06-24,10-15,0-50nm,37.57142857142857,7
2019-06-24,10-15,150-300nm,173.85714285714286,7
2019-06-24,10-15,50-150nm,60.0,7
2019-06-24,15-25,0-50nm,2.4285714285714284,7
2019-06-24,15-25,150-300nm,150.0,7
2019-06-24,15-25,50-150nm,36.57142857142857,7
2019-06-24,2-4,0-50nm,4.857142857142857,7
2019-06-24,2-4,150-300nm,3.0,7
2019-06-24,2-4,50-150nm,2.2857142857142856,7
2019-06-24,4-6,0-50nm,5.857142857142857,7
2019-06-24,4-6,150-300nm,2.7142857142857144,7
2019-06-24,4-6,50-150nm,5.285714285714286,7
2019-06-24,6-10,0-50nm,42.714285714285715,7
